"KeHE Number","ItemNumber","Description","UPC"
"00267773","8-100-1","C&A Quinoa 8/17.6oz","7-28119-43001-2"
"00267776","8-100-7","C&A Barley Pearl 8/17.6oz","7-28119-43006-7"
"00267777","8-100-8","C&A Wild Rice 8/17.6oz","7-28119-43007-4"
"00295341","8-100-11","C&A Lentil Soup Mix 8/17.6oz","7-28119-43010-4"
"00295342","8-100-12","C&A Split Pea Soup Mix 8/17.6oz","7-28119-43011-1"
"00295343","8-100-13","C&A Vegetable Soup Mix 8/17.6oz","7-28119-43012-8"
"00295344","8-100-14","C&A Pasta e Fagioli Soup Mix 8/17.6oz","7-28119-43013-5"
"00295345","8-100-15","C&A Chicken Noodle Soup Mix 8/17.6oz","7-28119-43014-2"
"00318528","3-006","C&A Extra Virgin Olive Oil 6/25.3oz","7-28119-44103-3"
"00318529","3-007","C&A Organic Extra Virgin Olive Oil 6/16.9oz","7-28119-44104-0"
"00318530","3-008","C&A Truffle Oil 6/8.45oz","7-28119-44105-7"
"00318531","3-009","C&A Lemon Olive Oil 6/8.45oz","7-28119-44106-4"
"00318532","3-010","C&A Rosemary Olive Oil 6/8.45oz","7-28119-44107-1"
"00318533","3-011","C&A Basil Olive Oil 6/8.45oz","7-28119-44108-8"
"00295358","7-210-74","C&A Organic Linguine #74 12/16oz","7-28119-45008-9"
"00295359","7-210-75","C&A Organic Spaghetti #75 12/16oz","7-28119-45009-6"
"00295360","7-210-76","C&A Organic Angel Hair #76 12/16oz","7-28119-45010-2"
"00295361","7-210-77","C&A Organic Fettuccine #77 12/16oz","7-28119-45011-9"
"00295362","7-210-78","C&A Organic Lasagna #78 12/16oz","7-28119-45012-6"
"00295363","7-210-79","C&A Organic Macaroni #79 12/16oz","7-28119-45013-3"
"00295364","7-210-80","C&A Organic Shells #80 12/16oz","7-28119-45014-0"
"00295365","7-210-81","C&A Organic Rotini #81 12/16oz","7-28119-45015-7"
"00295366","7-210-82","C&A Organic Bow Ties #82 12/16oz","7-28119-45016-4"
"00295367","7-210-83","C&A Organic Orzo #83 12/16oz","7-28119-45017-1"
"00295368","7-210-84","C&A Organic Ditalini #84 12/16oz","7-28119-45018-8"
"00295369","7-210-85","C&A Organic Cavatappi #85 12/16oz","7-28119-45019-5"
"00295370","7-210-86","C&A Organic Pappardelle #86 12/16oz","7-28119-45020-1"
"00295371","7-210-87","C&A Organic Tagliatelle #87 12/16oz","7-28119-45021-8"
"00295372","7-210-88","C&A Organic Radiatori #88 12/16oz","7-28119-45022-5"
"00295373","7-210-89","C&A Organic Campanelle #89 12/16oz","7-28119-45023-2"
"00295374","7-210-90","C&A Organic Strozzapreti #90 12/16oz","7-28119-45024-9"
"00295375","7-210-91","C&A Organic Paccheri #91 12/16oz","7-28119-45025-6"
"00295376","7-210-92","C&A Organic Bucatini #92 12/16oz","7-28119-45026-3"
"00295377","7-210-93","C&A Organic Vermicelli #93 12/16oz","7-28119-45027-0"
"00295378","7-210-94","C&A Organic Capellini #94 12/16oz","7-28119-45028-7"
"00295379","7-210-95","C&A Organic Orecchiette #95 12/16oz","7-28119-45029-4"
"00295380","7-210-96","C&A Organic Conchiglie #96 12/16oz","7-28119-45030-0"
"00295381","7-210-97","C&A Organic Sedani #97 12/16oz","7-28119-45031-7"
"00295382","7-210-98","C&A Organic Lumache #98 12/16oz","7-28119-45032-4"
"00295383","7-210-99","C&A Organic Gigli #99 12/16oz","7-28119-45033-1"
"00295384","7-210-100","C&A Organic Tortiglioni #100 12/16oz","7-28119-45034-8"
"00295385","7-210-101","C&A Organic Pipe Rigate #101 12/16oz","7-28119-45035-5"
"00295386","7-210-102","C&A Organic Mezze Maniche #102 12/16oz","7-28119-45036-2"
"00295387","7-210-103","C&A Organic Pennoni #103 12/16oz","7-28119-45037-9"
"00295388","7-210-104","C&A Organic Rigatoncini #104 12/16oz","7-28119-45038-6"
